Date,Open_N,High_N,Low_N,Close_N
11/01/23, 19064.05, 19096.05, 18973.70, 18989.15
10/31/23, 19232.95, 19233.70, 19056.45, 19079.60
10/30/23, 19053.40, 19158.50, 18940.00, 19140.90
10/27/23, 18928.75, 19076.15, 18926.65, 19047.25
10/26/23, 19027.25, 19041.70, 18837.85, 18857.25
10/25/23, 19286.45, 19347.30, 19074.15, 19122.15
10/23/23, 19521.60, 19556.85, 19257.85, 19281.75
10/20/23, 19542.15, 19593.80, 19518.70, 19542.65
10/19/23, 19545.20, 19681.80, 19512.35, 19624.70
10/18/23, 19820.45, 19840.95, 19659.95, 19671.10
10/17/23, 19843.20, 19849.75, 19775.65, 19811.50
10/16/23, 19737.25, 19781.30, 19691.85, 19731.75
10/13/23, 19654.55, 19805.40, 19635.30, 19751.05
10/12/23, 19822.70, 19843.30, 19772.65, 19794.00
10/11/23, 19767.00, 19839.20, 19756.95, 19811.35
10/10/23, 19565.60, 19717.80, 19565.45, 19689.85
10/09/23, 19539.45, 19588.95, 19480.50, 19512.35
10/06/23, 19621.20, 19675.75, 19589.40, 19653.50
10/05/23, 19521.85, 19576.95, 19487.30, 19545.75
10/04/23, 19446.30, 19457.80, 19333.60, 19436.10
10/03/23, 19622.40, 19623.20, 19479.65, 19528.75
09/29/23, 19581.20, 19726.25, 19551.05, 19638.30
09/28/23, 19761.80, 19766.65, 19492.10, 19523.55
09/27/23, 19637.05, 19730.70, 19554.00, 19716.45
09/26/23, 19682.80, 19699.35, 19637.45, 19664.70
09/25/23, 19678.20, 19734.15, 19601.55, 19674.55
09/22/23, 19744.85, 19798.65, 19657.50, 19674.25
09/21/23, 19840.55, 19848.75, 19709.95, 19742.35
09/20/23, 19980.75, 20050.65, 19878.85, 19901.40
09/18/23, 20155.95, 20195.35, 20115.70, 20133.30
09/15/23, 20156.45, 20222.45, 20129.70, 20192.35
09/14/23, 20127.95, 20167.65, 20043.45, 20103.10
09/13/23, 19989.50, 20096.90, 19944.10, 20070.00
09/12/23, 20110.15, 20110.35, 19914.65, 19993.20
09/11/23, 19890.00, 20008.15, 19865.35, 19996.35
09/08/23, 19774.80, 19867.15, 19727.05, 19819.95
09/07/23, 19598.65, 19737.00, 19550.05, 19727.05
09/06/23, 19581.20, 19636.45, 19491.50, 19611.05
09/05/23, 19564.65, 19587.05, 19525.75, 19574.90
09/04/23, 19525.05, 19545.15, 19432.85, 19528.80
09/01/23, 19258.15, 19458.55, 19255.70, 19435.30
