Date,Open,High,Low,Close
11/01/23, 83.33, 83.35, 83.23, 83.27
10/31/23, 83.26, 83.35, 83.23, 83.35
10/30/23, 83.42, 83.42, 83.19, 83.26
10/27/23, 83.35, 83.42, 83.19, 83.41
10/26/23, 83.20, 83.41, 83.13, 83.35
10/25/23, 83.05, 83.22, 83.00, 83.10
10/24/23, 83.11, 83.13, 82.71, 83.02
10/23/23, 83.16, 83.20, 82.97, 83.12
10/20/23, 83.21, 83.27, 83.00, 83.16
10/19/23, 83.30, 83.60, 83.03, 83.19
10/18/23, 83.35, 83.43, 82.95, 83.30
10/17/23, 83.24, 83.35, 82.83, 83.30
10/16/23, 83.42, 83.42, 83.14, 83.24
10/13/23, 83.35, 83.42, 83.18, 83.42
10/12/23, 83.24, 83.42, 83.05, 83.35
10/11/23, 83.31, 83.32, 83.10, 83.24
10/10/23, 83.24, 83.45, 83.09, 83.16
10/09/23, 83.11, 83.41, 83.11, 83.39
10/06/23, 83.36, 83.36, 83.09, 83.11
10/05/23, 83.35, 83.45, 83.19, 83.36
10/04/23, 83.28, 83.45, 83.13, 83.45
10/03/23, 83.36, 83.37, 83.13, 83.22
10/02/23, 83.18, 83.36, 83.04, 83.36
09/29/23, 83.16, 83.33, 81.66, 83.18
09/28/23, 83.29, 83.39, 83.11, 83.16
09/27/23, 83.30, 83.42, 83.15, 83.25
09/26/23, 83.08, 83.43, 82.89, 83.42
09/25/23, 83.11, 83.20, 82.98, 83.09
09/22/23, 83.12, 83.24, 82.51, 83.12
09/21/23, 83.07, 83.22, 83.03, 83.12
09/20/23, 83.30, 83.85, 82.88, 83.06
09/19/23, 83.23, 83.63, 83.14, 83.30
09/18/23, 83.10, 83.33, 83.06, 83.23
09/15/23, 83.12, 83.22, 82.99, 83.10
09/14/23, 82.97, 83.29, 82.77, 83.08
09/13/23, 82.89, 83.12, 82.10, 83.00
09/12/23, 83.00, 83.52, 82.80, 82.83
09/11/23, 83.10, 83.13, 82.83, 82.89
09/08/23, 83.24, 83.27, 82.91, 83.05
09/07/23, 83.33, 83.33, 83.07, 83.24
09/06/23, 83.25, 83.37, 82.14, 83.33
09/05/23, 82.71, 83.27, 82.68, 83.14
09/04/23, 82.72, 82.84, 82.65, 82.72
09/01/23, 82.64, 82.84, 82.55, 82.72
08/31/23, 82.85, 82.85, 82.60, 82.75
08/30/23, 82.71, 82.85, 82.26, 82.85
08/29/23, 82.75, 82.90, 82.57, 82.60
08/28/23, 82.55, 82.75, 82.52, 82.75
08/25/23, 82.58, 82.74, 82.53, 82.53
08/24/23, 82.54, 82.65, 82.41, 82.58
08/23/23, 83.08, 83.10, 82.45, 82.54
08/22/23, 83.13, 83.14, 82.91, 83.09
08/21/23, 83.16, 83.21, 83.02, 83.12
08/18/23, 83.12, 83.28, 82.98, 83.16
08/17/23, 83.27, 83.27, 82.99, 83.12
08/16/23, 83.39, 85.03, 83.01, 83.24
08/15/23, 83.16, 83.73, 83.14, 83.39
08/14/23, 83.03, 83.29, 82.89, 83.29
08/11/23, 82.80, 83.05, 82.73, 83.03
08/10/23, 82.82, 82.92, 82.59, 82.80
08/09/23, 82.83, 83.98, 82.80, 82.92
08/08/23, 82.76, 82.99, 82.72, 82.92
08/07/23, 82.68, 82.87, 82.67, 82.76
08/04/23, 82.81, 82.90, 82.62, 82.68
08/03/23, 82.72, 82.89, 82.66, 82.83
08/02/23, 82.34, 82.82, 82.29, 82.79
08/01/23, 82.25, 82.43, 82.22, 82.34
07/31/23, 82.26, 82.33, 82.20, 82.29
07/28/23, 82.37, 82.38, 82.16, 82.30
07/27/23, 82.01, 82.39, 81.89, 82.37
07/26/23, 81.95, 82.12, 81.86, 82.01
07/25/23, 81.83, 81.95, 81.69, 81.95
07/24/23, 82.00, 82.05, 81.79, 81.83
07/21/23, 82.16, 82.16, 81.92, 82.00
07/20/23, 82.06, 82.16, 81.95, 82.16
07/19/23, 82.08, 82.16, 82.03, 82.07
07/18/23, 82.06, 82.15, 81.99, 82.08
07/17/23, 82.13, 82.20, 82.00, 82.06
07/14/23, 82.02, 82.25, 81.93, 82.14
07/13/23, 81.99, 82.17, 81.96, 82.02
07/12/23, 82.41, 82.46, 81.97, 81.99
07/11/23, 82.50, 82.63, 81.57, 82.41
07/10/23, 82.65, 82.73, 82.48, 82.58
07/07/23, 82.77, 82.77, 82.54, 82.65
07/06/23, 82.40, 82.83, 82.30, 82.77
07/05/23, 82.02, 82.44, 81.97, 82.40
07/04/23, 81.96, 82.10, 81.88, 82.02
07/03/23, 82.10, 82.15, 81.77, 81.99
06/30/23, 82.06, 82.20, 82.02, 82.10
06/29/23, 82.02, 82.23, 82.00, 82.07
06/28/23, 81.98, 82.10, 81.97, 82.02
06/27/23, 82.00, 82.07, 81.94, 81.99
06/26/23, 81.96, 82.08, 81.94, 82.00
06/23/23, 81.94, 82.09, 81.91, 81.96
06/22/23, 81.94, 82.08, 81.90, 81.94
06/21/23, 81.99, 82.13, 81.92, 81.94
06/20/23, 81.98, 82.17, 81.92, 81.99
06/19/23, 81.94, 82.00, 81.90, 81.98
06/16/23, 81.91, 82.02, 81.87, 81.94
06/15/23, 82.04, 82.27, 81.87, 81.91
06/14/23, 82.29, 82.32, 81.90, 82.05
06/13/23, 82.38, 82.49, 82.16, 82.29
06/12/23, 82.42, 82.57, 82.34, 82.38
06/09/23, 82.46, 82.57, 82.41, 82.42
06/08/23, 82.63, 82.65, 82.44, 82.47
06/07/23, 82.52, 82.66, 82.47, 82.64
06/06/23, 82.52, 82.65, 82.49, 82.52
06/05/23, 82.41, 82.67, 82.40, 82.53
